,CBLOF,COPOD,ECOD,FeatureBagging,HBOS,IForest,kNN,LODA,LOF,MCD,OCSVM,PCA,DAGMM,DeepSVDD,DROCC,GOAD,ICL,PlanarFlow,DDPM,DTE-NP,DTE-IG,DTE-C,odim,oneclasssvm,lof,if,copod,ecod,deepsvdd,rsrae
20news,56.38(1.44),53.26(0.59),54.42(0.42),60.97(1.63),53.69(0.62),55.0(1.81),56.65(1.23),53.85(4.56),60.98(1.65),58.29(2.78),55.92(0.97),54.48(0.69),51.78(3.92),51.49(5.34),49.58(2.77),55.28(1.84),54.73(2.58),51.27(2.61),54.74(0.56),56.98(1.59),52.72(5.59),57.87(3.45),,,,,,,,
CIFAR10,66.31(0.3),54.78(0.07),56.66(0.06),68.71(0.63),57.23(0.17),62.9(1.09),65.85(0.09),59.09(5.51),68.62(0.59),63.9(0.75),66.25(0.08),65.93(0.18),53.0(2.94),55.45(4.1),50.32(2.39),65.85(1.04),55.68(1.4),62.13(1.33),66.34(0.14),66.0(0.22),59.52(2.81),62.87(1.57),,,,,,,,
FashionMNIST,87.06(0.33),50.0(0.0),50.0(0.0),74.78(0.94),74.82(0.2),83.08(0.94),87.51(0.14),67.23(7.64),73.81(0.86),83.95(1.2),86.03(0.05),85.32(0.17),66.37(5.59),64.66(7.04),56.39(3.06),85.99(0.52),75.8(1.2),81.88(1.33),86.1(0.08),87.31(0.25),76.67(6.18),84.05(1.28),,,,,,,,
MNIST-C,75.71(1.0),50.0(0.0),50.0(0.0),70.19(1.05),68.92(0.22),73.34(1.89),78.64(0.13),59.06(9.66),69.94(0.95),73.9(1.62),75.11(0.09),74.05(0.18),58.13(6.73),55.24(9.15),59.37(2.13),75.16(1.73),66.95(1.05),70.48(1.97),75.1(0.14),78.83(0.24),70.3(3.97),74.56(2.21),,,,,,,,
MVTec-AD,75.41(2.26),50.0(0.0),50.0(0.0),74.54(2.66),73.18(1.9),74.67(1.85),76.28(1.56),64.42(5.16),74.17(2.73),61.79(4.89),73.52(1.86),72.44(1.94),59.57(4.79),60.28(6.07),54.38(4.52),72.96(2.61),68.3(3.37),63.73(6.77),73.21(1.92),76.11(2.26),65.48(5.76),72.95(3.11),,,,,,,,
SVHN,60.13(0.25),50.0(0.0),50.0(0.0),62.9(0.4),54.22(0.12),58.03(0.7),60.36(0.08),53.4(4.29),62.8(0.41),58.31(0.84),60.38(0.08),59.92(0.17),52.75(2.11),52.05(3.23),52.12(2.09),59.7(1.44),57.06(1.05),58.04(1.09),60.45(0.13),60.69(0.2),56.73(2.89),59.96(1.24),,,,,,,,
agnews,61.91(0.31),55.1(0.04),55.24(0.04),71.5(0.62),55.4(0.08),58.43(1.32),64.65(0.1),56.81(3.57),71.36(0.64),66.5(0.5),60.09(0.11),56.61(0.08),50.8(3.45),49.36(4.46),50.01(0.55),59.16(3.06),59.08(0.61),49.65(1.27),57.06(0.1),65.22(0.31),54.45(5.22),62.66(3.75),,,,,,,,
aloi,55.58(0.2),51.53(0.01),53.06(0.01),79.15(0.56),53.11(0.21),54.22(0.39),61.32(0.04),49.52(1.02),76.66(0.35),52.04(0.17),54.86(0.01),54.9(0.08),51.69(2.13),51.42(2.92),50.0(0.0),49.69(0.64),54.84(0.62),52.01(1.37),53.22(0.25),64.5(0.09),54.1(0.99),52.48(0.31),52.91%,53.13%,74.31%,53.52%,51.08%,52.56%,53.55%,54.26%
amazon,57.92(0.24),57.05(0.06),54.1(0.05),57.18(0.49),56.3(0.08),55.76(0.65),60.27(0.04),52.63(3.04),57.09(0.56),59.73(0.42),56.47(0.1),54.95(0.1),50.12(1.97),46.38(2.16),50.0(0.0),55.97(2.07),52.84(0.7),49.49(0.97),55.13(0.09),60.3(0.4),53.45(1.61),55.64(2.54),,,,,,,,
annthyroid,67.57(0.98),77.67(0.17),78.91(0.11),78.77(2.68),60.84(2.38),81.63(1.18),76.05(0.14),45.33(12.81),70.95(1.05),91.8(0.35),68.17(0.21),67.56(0.39),54.81(7.26),73.9(1.57),63.07(2.69),45.25(10.03),59.94(3.53),96.58(1.49),81.37(1.37),78.11(0.22),92.32(2.08),96.36(0.52),59.24%,61.22%,68.36%,80.94%,77.87%,78.89%,56.47%,49.77%
