Train_AUC,ODIM,OneClassSVM,LoF,iF,COPOD,ECOD,DeepSVDD,RSRAE
annthyroid,59.24%,61.22%,68.36%,80.94%,77.87%,78.89%,56.47%,49.77%
breastw,99.20%,81.73%,44.65%,98.34%,99.35%,98.99%,86.33%,50.73%
cover,83.69%,91.45%,55.26%,89.43%,88.47%,92.08%,52.20%,82.01%
glass,72.46%,26.50%,80.16%,71.38%,56.88%,60.03%,81.53%,47.97%
ionosphere,91.39%,75.80%,89.42%,85.87%,80.44%,73.58%,82.71%,96.87%
letter,65.38%,47.11%,83.20%,66.29%,57.61%,57.73%,72.28%,49.24%
mammography,84.76%,84.60%,75.45%,86.21%,90.25%,90.33%,69.65%,53.51%
musk,100.00%,81.59%,37.05%,99.95%,94.77%,95.51%,75.87%,72.64%
optdigits,55.06%,56.17%,53.02%,76.93%,68.20%,60.78%,51.97%,58.36%
pendigits,95.31%,93.59%,48.59%,95.69%,90.77%,92.96%,61.33%,90.68%
pima,70.57%,62.58%,64.83%,67.18%,64.25%,57.82%,58.72%,58.67%
speech,46.33%,47.81%,50.96%,47.71%,46.19%,44.79%,50.75%,63.39%
vertebral,45.27%,41.75%,35.41%,33.82%,29.10%,41.19%,46.13%,78.21%
vowels,90.39%,60.67%,94.57%,80.75%,51.91%,61.02%,78.69%,87.59%
wbc,94.05%,93.42%,93.69%,93.77%,96.42%,90.27%,76.33%,59.76%
arrhythmia,79.96%,80.69%,78.60%,80.99%,79.44%,80.00%,67.74%,81.39%
cardio,91.61%,91.31%,71.61%,93.05%,92.10%,93.45%,58.86%,24.54%
satellite,69.01%,59.77%,55.83%,69.02%,63.44%,58.36%,63.75%,73.13%
satimage-2,99.66%,97.87%,49.06%,99.15%,96.58%,95.42%,73.90%,98.84%
shuttle,98.09%,98.28%,50.84%,99.70%,99.50%,99.32%,64.60%,97.18%
thyroid,92.82%,84.74%,94.15%,97.71%,94.24%,97.71%,78.14%,81.52%
1_ALOI,52.91%,53.13%,74.31%,53.52%,51.08%,52.56%,53.55%,54.26%
3_backdoor,87.20%,84.62%,73.82%,70.71%,78.89%,84.55%,61.92%,73.08%
5_campaign,73.99%,66.88%,58.47%,70.52%,78.70%,77.31%,56.11%,70.79%
7_Cardiotocography,56.94%,78.46%,57.56%,68.25%,68.95%,78.56%,50.70%,64.73%
8_celeba,83.03%,69.62%,42.43%,68.29%,75.07%,75.71%,41.56%,65.34%
9_census,65.87%,,,,67.49%,66.05%,55.94%,56.01%
11_donors,78.16%,73.29%,61.93%,78.41%,81.58%,88.94%,,47.55%
13_fraud,91.86%,94.92%,47.67%,95.41%,95.14%,95.44%,50.48%,88.55%
19_landsat,45.81%,37.05%,53.98%,49.13%,42.55%,37.19%,66.70%,47.37%
22_magic.gamma,77.00%,59.44%,67.70%,73.29%,67.99%,63.64%,63.74%,62.57%
27_PageBlocks,87.71%,89.23%,75.32%,89.18%,87.35%,91.24%,64.84%,81.39%
33_skin,63.62%,48.63%,56.86%,66.68%,47.08%,48.87%,47.84%,62.71%
35_SpamBase,55.42%,52.46%,43.91%,63.74%,68.49%,65.31%,45.77%,28.57%
41_Waveform,67.63%,53.22%,74.11%,70.12%,73.02%,59.74%,64.89%,68.58%
